Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.865942,0.129126,0.6847479999999999,0.26981,0.185967,0.489703,0.25,0.31750300000000004,0.69605,0.00031,0.129126
No,0.860892,0.107224,0.6827880000000001,0.281561,0.196728,0.48092299999999993,0.25,0.31750300000000004,0.753188,0.00023999999999999998,0.107224
No,0.8377700000000001,0.149042,0.704944,0.233721,0.20046,0.48515600000000003,0.25,0.31750300000000004,0.662579,0.000426,0.149042
No,0.81652,0.195323,0.6877300000000001,0.206826,0.209783,0.481579,0.25,0.31750300000000004,0.618476,0.001016,0.195323
No,0.831332,0.10701500000000001,0.692292,0.18803599999999998,0.188412,0.456662,0.25,0.31750300000000004,0.669412,0.000145,0.10701500000000001
No,0.721425,0.147289,0.705637,0.20456,0.1666,0.443471,0.25,0.31750300000000004,0.537853,0.000207,0.147289
No,0.698585,0.096924,0.7138680000000001,0.147095,0.153042,0.45654799999999995,0.25,0.31750300000000004,0.644466,9e-05,0.096924
No,0.6337020000000001,0.159458,0.692956,0.163656,0.127998,0.444733,0.25,0.31750300000000004,0.7035020000000001,0.000684,0.159458
No,0.690303,0.20416600000000001,0.683443,0.162624,0.137638,0.44504499999999997,0.25,0.31750300000000004,0.650489,0.00147,0.20416600000000001
No,0.337345,0.159621,0.685295,0.26197600000000004,0.145073,0.398879,0.25,0.295585,0.5700270000000001,0.000337,0.159621
No,0.380198,0.14914000000000002,0.700712,0.256693,0.140895,0.39055700000000004,0.25,0.295585,0.6617270000000001,0.000425,0.14914000000000002
No,0.41042700000000004,0.126083,0.686082,0.2858,0.129864,0.383664,0.25,0.295585,0.662285,0.00023700000000000001,0.126083
No,0.8277209999999999,0.136152,0.677632,0.236131,0.179605,0.507885,0.25,0.31750300000000004,0.634911,0.000265,0.136152
No,0.777452,0.148654,0.679362,0.211167,0.189612,0.507274,0.25,0.31750300000000004,0.624473,0.000344,0.148654
No,0.737113,0.142322,0.694024,0.210221,0.19958900000000002,0.507572,0.25,0.31750300000000004,0.633514,0.000308,0.142322
No,0.803546,0.061786,0.719496,0.212871,0.035822,0.168936,0.25,0.46509700000000004,0.520066,0.0,0.061786
No,0.6502680000000001,0.105208,0.6826180000000001,0.21363200000000002,0.04686,0.17512,0.25,0.46509700000000004,0.685088,0.000151,0.105208
No,0.582274,0.12878699999999998,0.672515,0.26584800000000003,0.069489,0.192234,0.25,0.45924,0.638653,0.000223,0.12878699999999998
No,0.9129510000000001,0.10260799999999999,0.7138,0.27927199999999996,0.064943,0.188737,0.25,0.45924,0.707466,0.00015900000000000002,0.10260799999999999
No,0.891432,0.155175,0.667987,0.28888,0.081538,0.198463,0.25,0.45924,0.521827,0.000231,0.155175
No,0.710184,0.27081,0.702327,0.293383,0.072451,0.193353,0.25,0.45924,0.486092,0.002827,0.27081
No,0.640463,0.108045,0.711831,0.283546,0.06209099999999999,0.185603,0.25,0.45924,0.5473720000000001,7.099999999999999e-05,0.108045
No,0.6953520000000001,0.164175,0.696743,0.295471,0.063194,0.18900799999999998,0.25,0.45924,0.5307270000000001,0.000305,0.164175
No,0.687629,0.047387,0.706095,0.334142,0.074835,0.196944,0.25,0.45924,0.645241,0.0,0.047387
No,0.6589520000000001,0.171423,0.685333,0.341278,0.074706,0.193866,0.25,0.45924,0.5700890000000001,0.000449,0.171423
No,0.663057,0.11838499999999999,0.7193069999999999,0.357015,0.07513,0.192354,0.25,0.45924,0.5699649999999999,0.00011200000000000001,0.11838499999999999
No,0.46950699999999995,0.149039,0.702231,0.30733,0.035976,0.165554,0.25,0.46509700000000004,0.574712,0.000265,0.149039
No,0.440456,0.056397,0.707592,0.34415999999999997,0.05179400000000001,0.173234,0.25,0.45924,0.566405,0.0,0.056397
No,0.457589,0.156135,0.686842,0.26210300000000003,0.019956,0.159618,0.25,0.46509700000000004,0.55912,0.000291,0.156135
No,0.268443,0.144096,0.68176,0.24578899999999998,0.017362,0.15498499999999998,0.25,0.46509700000000004,0.617958,0.000296,0.144096
No,0.37195,0.143501,0.713164,0.236598,0.017362,0.15448800000000001,0.25,0.46509700000000004,0.5706,0.000225,0.143501
No,0.393595,0.133721,0.65995,0.202612,0.015059000000000001,0.154272,0.25,0.46509700000000004,0.5243770000000001,0.000133,0.133721
No,0.567362,0.14670999999999998,0.6963550000000001,0.23644400000000002,0.0,0.143027,0.25,0.46509700000000004,0.542821,0.00021,0.14670999999999998
No,0.432713,0.18543900000000002,0.680359,0.21630700000000003,0.006856999999999999,0.137283,0.25,0.46509700000000004,0.5968439999999999,0.000722,0.18543900000000002
No,0.9682709999999999,0.136682,0.707583,0.171421,0.023636,0.153364,0.25,0.46509700000000004,0.630263,0.000262,0.136682
No,0.335527,0.160327,0.696816,0.347611,0.22561199999999998,0.220771,0.25,0.446679,0.523103,0.000265,0.160327
No,0.313188,0.054674,0.695175,0.375481,0.22143600000000002,0.23206,0.25,0.446679,0.58141,0.0,0.054674
No,0.28804,0.130307,0.714592,0.385434,0.216887,0.241137,0.25,0.446679,0.5536800000000001,0.000144,0.130307
No,0.25557399999999997,0.157795,0.699804,0.387642,0.21519699999999997,0.24792600000000004,0.25,0.446679,0.585946,0.00035099999999999997,0.157795
No,0.28678200000000004,0.125352,0.6948310000000001,0.4021,0.21711,0.255824,0.25,0.446679,0.668658,0.000241,0.125352
No,0.370437,0.129733,0.675786,0.340045,0.179882,0.2593,0.25,0.446679,0.558643,0.000145,0.129733
No,0.373812,0.116139,0.710073,0.367465,0.189845,0.260306,0.25,0.446679,0.589558,0.000118,0.116139
No,0.334751,0.165074,0.688485,0.316159,0.182757,0.25049299999999997,0.25,0.446679,0.559926,0.000365,0.165074
No,0.258565,0.132028,0.6898569999999999,0.284143,0.180035,0.242173,0.25,0.446679,0.538849,0.000138,0.132028
No,0.325334,0.096322,0.6886760000000001,0.316232,0.191773,0.242258,0.25,0.446679,0.492022,3.1e-05,0.096322
No,0.30800900000000003,0.148064,0.6922659999999999,0.324837,0.20289400000000002,0.23439200000000002,0.25,0.446679,0.58321,0.000271,0.148064
No,0.319623,0.13211900000000001,0.7000310000000001,0.32606999999999997,0.211418,0.225706,0.25,0.446679,0.538068,0.000138,0.13211900000000001
No,0.343504,0.177513,0.694232,0.241274,0.18828,0.21368,0.25,0.446679,0.48751700000000003,0.000332,0.177513
No,0.33664099999999997,0.146428,0.704929,0.242567,0.180373,0.218994,0.25,0.446679,0.5452520000000001,0.00021099999999999998,0.146428
No,0.297556,0.105974,0.7090489999999999,0.25402800000000003,0.177319,0.22461,0.25,0.446679,0.565297,7.4e-05,0.105974
No,0.25954099999999997,0.204228,0.701562,0.263272,0.175697,0.23135300000000003,0.25,0.446679,0.540925,0.000834,0.204228
No,0.37307399999999996,0.17007,0.706559,0.29249200000000003,0.164192,0.250596,0.25,0.446679,0.550586,0.000392,0.17007
No,0.298098,0.086229,0.700227,0.304427,0.16162,0.256477,0.25,0.446679,0.578308,3.8e-05,0.086229
No,0.36333000000000004,0.144014,0.69767,0.342186,0.1852,0.25754299999999997,0.25,0.446679,0.566138,0.00022200000000000003,0.144014
No,0.141592,0.127057,0.682384,0.40826999999999997,0.21786,0.269387,0.25,0.446679,0.581918,0.000154,0.127057
No,0.335892,0.11906300000000002,0.697199,0.389304,0.210198,0.280829,0.25,0.446679,0.651933,0.000184,0.11906300000000002
No,0.381008,0.118522,0.678755,0.36622,0.200729,0.283756,0.25,0.446679,0.5687810000000001,0.00011200000000000001,0.118522
No,0.194413,0.23640799999999998,0.65677,0.39700799999999997,0.21624899999999997,0.272798,0.25,0.446679,0.569543,0.002019,0.23640799999999998
No,0.055459,0.131996,0.722536,0.389231,0.20289400000000002,0.268577,0.25,0.446679,0.5391199999999999,0.000138,0.131996
No,0.040975,0.12116700000000001,0.735406,0.37755700000000003,0.194572,0.26887300000000003,0.25,0.446679,0.545876,0.000106,0.12116700000000001
No,0.161329,0.110377,0.694016,0.32200700000000004,0.168095,0.267571,0.25,0.446679,0.527374,6.7e-05,0.110377
No,0.237596,0.145373,0.703579,0.308772,0.16132,0.260864,0.25,0.446679,0.554354,0.00021600000000000002,0.145373
No,0.287557,0.146483,0.698412,0.43451999999999996,0.21015799999999998,0.302179,0.25,0.446679,0.5970409999999999,0.000281,0.146483
No,0.364206,0.15162899999999999,0.673341,0.409988,0.20056300000000002,0.305492,0.25,0.446679,0.5984010000000001,0.000322,0.15162899999999999
No,0.361951,0.12581900000000001,0.6883,0.425178,0.20037,0.30937800000000004,0.25,0.446679,0.592741,0.00015900000000000002,0.12581900000000001
No,0.35034899999999997,0.106709,0.688912,0.402526,0.190558,0.308247,0.25,0.425795,0.55892,7.3e-05,0.106709
No,0.335687,0.159172,0.6950529999999999,0.43151000000000006,0.20696900000000001,0.306081,0.25,0.446679,0.61145,0.00041600000000000003,0.159172
No,0.271838,0.150483,0.691557,0.42089899999999997,0.204921,0.30049499999999996,0.25,0.446679,0.60844,0.00033,0.150483
No,0.386435,0.113132,0.6965100000000001,0.381117,0.198261,0.28784299999999996,0.25,0.446679,0.615903,0.000126,0.113132
No,0.352943,0.120896,0.679503,0.384944,0.20717600000000003,0.283173,0.25,0.446679,0.63589,0.000177,0.120896
